endYear,alive.Female,alive.Male,infected.Female,infected.Male,newInfections.Female,newInfections.Male,prevalence.Female,prevalence.Male,incidence.Female,incidence.Male,percInfectedTreated.Female,percInfectedTreated.Male,percNewInfectFromAcute,percNewInfectFromAcute.Female,percNewInfectFromAcute.Male,sampleCoverage.25p,sampleCoverage.25p.Female,sampleCoverage.25p.Male,sampleCoverage.50p,sampleCoverage.50p.Female,sampleCoverage.50p.Male
15.5,3601,3352,42,60,4,9,1.16634268258817,1.25298329355609,0.112612612612613,0.274390243902439,0,0,0,0,0,0,0,0,0,0,0
16,3623,3367,49,62,7,3,1.35247032845708,1.45530145530146,0.196078431372549,0.0910470409711684,0,0,0,0,0,0,0,0,0,0,0
16.5,3653,3386,56,66,8,8,1.53298658636737,1.65386887182516,0.22271714922049,0.241837968561064,0,0,12.5,12.5,12.5,0,0,0,0,0,0
17,3661,3402,53,71,0,8,1.44769188746244,1.55790711346267,0,0.240963855421687,0,0,0,0,0,0,0,0,0,0,0
17.5,3686,3429,56,73,4,6,1.51926207270754,1.63312919218431,0.110344827586207,0.17931858936043,0,0,0,0,0,0,0,0,0,0,0
18,3693,3439,60,78,9,7,1.6246953696182,1.74469322477464,0.248344370860927,0.208892867800657,0,0,6.25,11.1111111111111,0,0,0,0,0,0,0
18.5,3718,3453,71,90,12,15,1.90962883270576,2.05618302924993,0.329851566794942,0.447093889716841,0,0,7.40740740740741,8.33333333333333,6.66666666666667,0,0,0,0,0,0
19,3727,3463,75,96,8,11,2.01234236651462,2.16575223794398,0.21959923140269,0.327673518022043,0,0,5.26315789473684,12.5,0,0,0,0,0,0,0
19.5,3738,3491,81,109,11,15,2.1669341894061,2.32025207676883,0.301866081229418,0.444971818451498,0,0,3.84615384615385,0,6.66666666666667,0,0,0,0,0,0
20,3750,3509,93,115,16,10,2.48,2.65032772869763,0.439077936333699,0.295595625184747,0,0,7.69230769230769,6.25,10,0,0,0,0,0,0
20.5,3766,3534,94,132,5,22,2.49601699415826,2.65987549518959,0.136761487964989,0.649159043965772,0,0,0,0,0,0,0,0,0,0,0
21,3788,3544,107,152,14,28,2.8247096092925,3.01918735891648,0.381471389645777,0.830121553513193,0,0,4.76190476190476,0,7.14285714285714,0,0,0,0,0,0
21.5,3814,3564,108,164,4,22,2.83167278447824,3.03030303030303,0.108254397834912,0.652045050385299,0,0,0,0,0,0,0,0,0,0,0
22,3825,3581,121,179,18,23,3.16339869281046,3.37894442893047,0.487144790257104,0.681481481481482,0,0,9.75609756097561,0,17.3913043478261,0,0,0,0,0,0
22.5,3854,3595,129,197,14,22,3.34717176959004,3.58831710709318,0.376952073236403,0.652238363474652,0,0,16.6666666666667,28.5714285714286,9.09090909090909,0,0,0,0,0,0
23,3873,3606,133,221,11,30,3.43403046733798,3.68829728230727,0.295381310418904,0.89179548156956,0,0,0,0,0,0,0,0,0,0,0
23.5,3889,3629,146,235,21,21,3.75417845204423,4.02314687241664,0.564212788823213,0.622406639004149,0,0,7.14285714285714,9.52380952380952,4.76190476190476,0,0,0,0,0,0
24,3900,3647,167,250,25,26,4.28205128205128,4.57910611461475,0.673491379310345,0.769914124962985,0,0,5.88235294117647,12,0,0,0,0,0,0,0
24.5,3926,3671,185,275,24,33,4.71217524197657,5.03949877417597,0.645334767410594,0.978357545211977,0,0,8.7719298245614,12.5,6.06060606060606,0,0,0,0,0,0
25,3936,3679,204,294,24,31,5.18292682926829,5.5449850502854,0.646725949878739,0.922893718368562,0,0,1.81818181818182,0,3.2258064516129,0,0,0,0,0,0
25.5,3956,3709,232,323,38,35,5.86450960566229,6.25505527096252,1.02674952715482,1.04166666666667,0,0,5.47945205479452,5.26315789473684,5.71428571428571,0,0,0,0,0,0
26,3968,3712,247,349,26,43,6.22479838709677,6.65409482758621,0.703653585926928,1.29129129129129,0,0,4.34782608695652,3.84615384615385,4.65116279069767,0,0,0,0,0,0
26.5,3992,3747,274,380,36,42,6.86372745490982,7.31251668001067,0.976668475311991,1.26088261783248,0,0,7.69230769230769,5.55555555555556,9.52380952380952,0,0,0,0,0,0
27,4014,3758,297,414,31,56,7.39910313901345,7.90313996806812,0.841705131686125,1.69851380042463,0,0,3.44827586206897,9.67741935483871,0,0,0,0,0,0,0
27.5,4024,3792,324,438,38,43,8.05168986083499,8.54430379746835,1.03655210038189,1.303425280388,0,0,6.17283950617284,7.89473684210526,4.65116279069767,0,0,0,0,0,0
28,4033,3813,347,464,37,47,8.60401686089759,9.10044584316811,1.01397643189915,1.43031040779063,0,0,3.57142857142857,0,6.38297872340426,0,0,0,0,0,0
28.5,4076,3829,368,498,31,51,9.02845927379784,9.6108644554714,0.844916871082039,1.56154317207593,0,0,0,0,0,0,0,0,0,0,0
29,4081,3834,390,524,39,54,9.55648125459446,10.1721439749609,1.06937208664656,1.66821130676552,0,0,3.2258064516129,2.56410256410256,3.7037037037037,0,0,0,0,0,0
29.5,4113,3852,415,564,44,60,10.0899586676392,10.7736240913811,1.20879120879121,1.86915887850467,0,0,2.88461538461538,4.54545454545455,1.66666666666667,0,0,0,0,0,0
30,4125,3858,419,591,24,50,10.1575757575758,10.8605495075168,0.65843621399177,1.57133878064111,0,0,2.7027027027027,8.33333333333333,0,0,0,0,0,0,0
30.5,4149,3862,441,621,40,54,10.6290672451193,11.4189539098912,1.09739368998628,1.70940170940171,0,0,4.25531914893617,7.5,1.85185185185185,0,0,0,0,0,0
31,4180,3876,471,655,47,53,11.2679425837321,12.1517027863777,1.29156361637813,1.68414362885288,0,0,2,2.12765957446809,1.88679245283019,0,0,0,0,0,0
31.5,4198,3910,490,697,44,73,11.6722248689852,12.5319693094629,1.21045392022008,2.33824471492633,0,0,6.83760683760684,13.6363636363636,2.73972602739726,0,0,0,0,0,0
32,4196,3941,518,738,44,72,12.3450905624404,13.1438721136767,1.21951219512195,2.31958762886598,0,0,4.31034482758621,2.27272727272727,5.55555555555556,0,0,0,0,0,0
32.5,4205,3960,538,767,44,69,12.794292508918,13.5858585858586,1.22392211404729,2.23953261927945,0,0,3.53982300884956,2.27272727272727,4.34782608695652,0,0,0,0,0,0
33,4239,3972,556,790,45,56,13.1163010143902,13.9979859013092,1.25139043381535,1.82648401826484,0,0,3.96039603960396,0,7.14285714285714,0,0,0,0,0,0
33.5,4264,3975,588,799,65,57,13.7898686679174,14.7924528301887,1.81513543702876,1.87192118226601,0,0,4.0983606557377,4.61538461538462,3.50877192982456,0,0,0,0,0,0
34,4279,3987,616,831,62,79,14.3958868894602,15.4502131928768,1.74353205849269,2.62632978723404,0,0,3.54609929078014,3.2258064516129,3.79746835443038,0,0,0,0,0,0
34.5,4294,4001,634,867,49,73,14.7647880763857,15.8460384903774,1.38067061143984,2.43739565943239,0,0,4.91803278688525,8.16326530612245,2.73972602739726,0,0,0,0,0,0
35,4294,4016,657,878,58,58,15.3004191895668,16.359561752988,1.64539007092199,1.94239785666443,0,0,4.31034482758621,3.44827586206897,5.17241379310345,0,0,0,0,0,0
35.5,4300,4032,681,902,54,72,15.8372093023256,16.889880952381,1.53846153846154,2.42261103633917,0,0,5.55555555555556,9.25925925925926,2.77777777777778,0,0,0,0,0,0
36,4308,4051,707,956,66,97,16.4113277623027,17.4524808689213,1.89546237794371,3.29595650696568,0,0,1.84049079754601,3.03030303030303,1.03092783505155,0,0,0,0,0,0
36.5,4322,4080,725,970,58,71,16.7746413697362,17.7696078431373,1.66858457997698,2.41825613079019,0,0,1.55038759689922,1.72413793103448,1.40845070422535,0,0,0,0,0,0
37,4367,4085,754,1006,57,84,17.2658575681246,18.4577723378213,1.63230240549828,2.90055248618785,0,0,3.54609929078014,3.50877192982456,3.57142857142857,0,0,0,0,0,0
37.5,4402,4101,762,1024,55,76,17.3103134938664,18.5808339429407,1.57008278618327,2.63522884882108,0,0,1.52671755725191,3.63636363636364,0,0,0,0,0,0,0
38,4420,4111,787,1060,66,97,17.8054298642534,19.1437606421795,1.89383070301291,3.41308937368051,0,0,6.13496932515337,6.06060606060606,6.18556701030928,0,0,0,0,0,0
38.5,4444,4121,816,1079,67,83,18.3618361836184,19.8010191701043,1.92584075883875,2.93182620981985,0,0,2,1.49253731343284,2.40963855421687,0,0,0,0,0,0
39,4460,4119,856,1094,78,72,19.1928251121076,20.7817431415392,2.25890529973936,2.55681818181818,0,0,2,1.28205128205128,2.77777777777778,0,0,0,0,0,0
39.5,4456,4129,865,1114,60,79,19.4120287253142,20.9493824170501,1.74774249927177,2.80838961962318,0,0,2.87769784172662,3.33333333333333,2.53164556962025,0,0,0,0,0,0
40,4474,4134,881,1128,72,77,19.6915511846223,21.3110788582487,2.10280373831776,2.75,0,0,2.01342281879195,4.16666666666667,0,0,0,0,0,0,0
40.5,4494,4147,901,1138,67,81,20.0489541611037,21.7265493127562,1.95392242636337,2.89906943450251,4.10654827968923,1.66959578207381,5.40540540540541,4.47761194029851,6.17283950617284,3.73514022572114,1.49405609028845,2.24108413543268,7.19014493451319,3.01923834912459,4.1709065853886
41,4507,4171,926,1152,73,86,20.5458176170402,22.2009110525054,2.13637693883524,3.08354248834708,6.80345572354212,3.73263888888889,2.51572327044025,5.47945205479452,0,6.16948221803646,2.71823721487745,3.45124500315901,12.3084224448945,5.28376447386291,7.02465797103161
41.5,4523,4187,943,1138,68,62,20.8489940305107,22.5220921901123,1.9941348973607,2.21904080171797,9.43796394485684,5.88752196836555,3.84615384615385,2.94117647058824,4.83870967741935,7.89897200201649,3.44626963794542,4.45270236407107,16.7128828459654,7.19751888986831,9.51536395609709
42,4541,4213,964,1130,71,61,21.2288042281436,22.8815570852124,2.09131075110457,2.16388790351188,11.2033195020747,7.61061946902655,1.51515151515152,1.40845070422535,1.63934426229508,9.60783365853944,4.21289867046367,5.39493498807578,21.0644933523183,9.24413017619726,11.8203631761211
42.5,4560,4233,959,1130,53,68,21.030701754386,22.6553271911174,1.55243116578793,2.40367621067515,12.9301355578728,9.11504424778761,3.30578512396694,3.77358490566038,2.94117647058824,12.0309420951699,5.34708537563104,6.68385671953881,25.1252250320845,11.332175256309,13.7930497757755
43,4578,4241,959,1129,55,58,20.9480122324159,22.6125913699599,1.60443407234539,2.02584701362207,14.2857142857143,10.7174490699734,3.53982300884956,3.63636363636364,3.44827586206897,14.2555914016407,6.26151775850316,7.99407364313753,28.9671185623957,13.2221370143149,15.7449815480808
43.5,4632,4268,976,1114,67,54,21.0708117443869,22.8678537956888,1.93418013856813,1.85567010309278,14.8565573770492,11.8491921005386,2.47933884297521,2.98507462686567,1.85185185185185,16.1854140370446,7.07542489799513,9.10998913904952,32.6137611177973,14.9707488185047,17.6430122992926
44,4634,4264,998,1114,61,63,21.5364695727233,23.4052532833021,1.7650462962963,2.15384615384615,15.7314629258517,13.1059245960503,1.61290322580645,1.63934426229508,1.58730158730159,17.9099855921175,7.93328220858896,9.97670338352854,36.9318327058933,17.0685768730247,19.8632558328686
44.5,4667,4302,998,1099,47,50,21.3841868437969,23.1985123198512,1.34516313680595,1.68690958164642,17.1342685370741,14.0127388535032,7.21649484536082,6.38297872340426,8,20.9132971144872,9.62435380956142,11.2889433049258,42.2503079187036,19.7632170995082,22.4870908191954
45,4676,4342,994,1075,57,49,21.2574850299401,22.8926761860894,1.62764134780126,1.62898936170213,18.3098591549296,15.5348837209302,4.71698113207547,5.26315789473684,4.08163265306122,25,11.5030674846626,13.4969325153374,50,23.6196319018405,26.3803680981595
