endYear,alive.Female,alive.Male,infected.Female,infected.Male,newInfections.Female,newInfections.Male,prevalence.Female,prevalence.Male,incidence.Female,incidence.Male,percInfectedTreated.Female,percInfectedTreated.Male,percNewInfectFromAcute,percNewInfectFromAcute.Female,percNewInfectFromAcute.Male,sampleCoverage.25p,sampleCoverage.25p.Female,sampleCoverage.25p.Male
18,3675,3459,38,59,3,6,1.03401360544218,1.09858340560856,0.0825309491059147,0.176678445229682,0,0,11.1111111111111,33.3333333333333,0,0,0,0
18.5,3701,3480,42,65,7,8,1.13482842475007,1.20689655172414,0.191466083150985,0.234535326883612,0,0,6.66666666666667,14.2857142857143,0,0,0,0
19,3719,3496,43,69,2,7,1.15622479161065,1.22997711670481,0.0544514021236047,0.204498977505113,0,0,0,0,0,0,0,0
19.5,3741,3525,46,72,7,6,1.2296177492649,1.30496453900709,0.189753320683112,0.174114915844457,0,0,0,0,0,0,0,0
20,3772,3538,47,77,2,8,1.24602332979852,1.32843414358395,0.0537778972842162,0.231816864676905,0,0,10,0,12.5,0,0,0
20.5,3785,3560,56,75,11,2,1.47952443857332,1.57303370786517,0.295540032240731,0.0576036866359447,0,0,0,0,0,0,0,0
21,3794,3573,62,86,9,13,1.63415919873484,1.73523649594179,0.241610738255034,0.37410071942446,0,0,4.54545454545455,11.1111111111111,0,0,0,0
21.5,3804,3590,64,94,2,10,1.68243953732913,1.78272980501393,0.0535475234270415,0.287108814240597,0,0,0,0,0,0,0,0
22,3820,3596,70,100,8,9,1.83246073298429,1.94660734149055,0.213675213675214,0.258249641319943,0,0,0,0,0,0,0,0
22.5,3841,3610,80,110,13,13,2.08279093985941,2.21606648199446,0.346205059920107,0.372492836676218,0,0,7.69230769230769,0,15.3846153846154,0,0,0
23,3858,3629,86,113,9,9,2.22913426645931,2.36979884265638,0.239043824701195,0.256849315068493,0,0,0,0,0,0,0,0
23.5,3880,3646,95,120,9,12,2.44845360824742,2.6055951727921,0.238095238095238,0.341588385994876,0,0,0,0,0,0,0,0
24,3896,3666,96,125,9,15,2.46406570841889,2.61865793780687,0.237529691211401,0.426136363636364,0,0,8.33333333333333,22.2222222222222,0,0,0,0
24.5,3916,3678,102,143,13,22,2.6046986721144,2.77324632952692,0.342105263157895,0.625711035267349,0,0,8.57142857142857,7.69230769230769,9.09090909090909,0,0,0
25,3935,3692,108,153,10,18,2.74459974587039,2.92524377031419,0.262260687123,0.512091038406828,0,0,7.14285714285714,10,5.55555555555556,0,0,0
25.5,3957,3708,114,166,9,18,2.88097043214556,3.07443365695793,0.235109717868339,0.511363636363636,0,0,0,0,0,0,0,0
26,3975,3726,123,179,11,18,3.09433962264151,3.30112721417069,0.286532951289398,0.509915014164306,0,0,3.44827586206897,0,5.55555555555556,0,0,0
26.5,3996,3742,142,199,25,29,3.55355355355355,3.79476215927312,0.650872168706066,0.822695035460993,0,0,7.40740740740741,12,3.44827586206897,0,0,0
27,4021,3755,154,223,19,33,3.82989306142751,4.10119840213049,0.493762993762994,0.939903161492452,0,0,3.84615384615385,0,6.06060606060606,0,0,0
27.5,4038,3786,161,242,16,27,3.98712233779099,4.25250924458531,0.415045395590143,0.767045454545455,0,0,4.65116279069767,0,7.40740740740741,0,0,0
28,4073,3795,186,265,31,35,4.56665848269089,4.90118577075099,0.803108808290155,1,0,0,6.06060606060606,0,11.4285714285714,0,0,0
28.5,4086,3809,207,286,29,30,5.06607929515418,5.43449724337096,0.752855659397715,0.859352621025494,0,0,6.77966101694915,10.3448275862069,3.33333333333333,0,0,0
29,4100,3827,224,302,25,26,5.46341463414634,5.85314868042853,0.649350649350649,0.744985673352435,0,0,1.96078431372549,4,0,0,0,0
29.5,4120,3856,239,321,25,31,5.80097087378641,6.19813278008299,0.648172154524242,0.886727688787185,0,0,5.35714285714286,4,6.45161290322581,0,0,0
30,4139,3871,252,355,22,43,6.08842715631795,6.50994575045208,0.56980056980057,1.23563218390805,0,0,1.53846153846154,4.54545454545455,0,0,0,0
30.5,4159,3887,271,379,28,42,6.51598942053378,6.97195780807821,0.725012946659762,1.21002592912705,0,0,7.14285714285714,0,11.9047619047619,0,0,0
31,4173,3906,286,404,25,34,6.85358255451713,7.32206861239119,0.647836227001814,0.981524249422633,0,0,6.77966101694915,16,0,0,0,0
31.5,4207,3924,303,435,33,44,7.20228191110055,7.7217125382263,0.853595447490947,1.27536231884058,0,0,2.5974025974026,3.03030303030303,2.27272727272727,0,0,0
32,4232,3950,333,461,46,54,7.86862003780718,8.43037974683544,1.19387490267324,1.57251019219569,0,0,9,6.52173913043478,11.1111111111111,0,0,0
32.5,4260,3967,352,492,31,46,8.26291079812207,8.87320393244265,0.803316921482249,1.3454226381983,0,0,2.5974025974026,3.2258064516129,2.17391304347826,0,0,0
33,4281,3994,377,531,40,54,8.80635365568792,9.43915873810716,1.03815208928108,1.58917010005886,0,0,7.4468085106383,7.5,7.40740740740741,0,0,0
33.5,4287,4008,392,548,32,49,9.14392348961978,9.78043912175649,0.832033281331253,1.4488468361916,0,0,1.23456790123457,0,2.04081632653061,0,0,0
34,4307,4005,424,567,50,50,9.84443928488507,10.5867665418227,1.30548302872063,1.49209191286183,0,0,9,8,10,0,0,0
34.5,4312,4013,443,591,44,60,10.2736549165121,11.0391228507351,1.15637319316689,1.80451127819549,0,0,3.84615384615385,4.54545454545455,3.33333333333333,0,0,0
35,4326,4032,469,623,46,57,10.8414239482201,11.6319444444444,1.21276034800949,1.72518159806295,0,0,4.85436893203883,2.17391304347826,7.01754385964912,0,0,0
35.5,4352,4045,498,661,50,65,11.4430147058824,12.3114956736712,1.32100396301189,1.98473282442748,0,0,6.08695652173913,6,6.15384615384615,0,0,0
36,4374,4053,514,681,45,56,11.7512574302698,12.6819639773008,1.18984664198837,1.71726464274762,0,0,3.96039603960396,0,7.14285714285714,0,0,0
36.5,4405,4059,526,702,38,64,11.9409761634506,12.9588568612959,1.00237404378792,1.97713932653692,0,0,5.88235294117647,2.63157894736842,7.8125,0,0,0
37,4416,4066,544,737,42,56,12.3188405797101,13.3792424987703,1.11052353252247,1.74129353233831,0,0,11.2244897959184,14.2857142857143,8.92857142857143,0,0,0
37.5,4452,4085,578,774,53,72,12.9829290206649,14.1493268053856,1.39878595935603,2.25563909774436,0,0,5.6,3.77358490566038,6.94444444444444,0,0,0
38,4467,4123,598,788,52,60,13.3870606671144,14.5040019403347,1.37748344370861,1.87265917602996,0,0,2.67857142857143,5.76923076923077,0,0,0,0
38.5,4480,4155,646,820,71,78,14.4196428571429,15.5475330926594,1.89636752136752,2.44514106583072,0,0,2.01342281879195,1.40845070422535,2.56410256410256,0,0,0
39,4490,4180,667,845,58,68,14.8552338530067,15.9569377990431,1.5583019881784,2.1363493559535,0,0,2.38095238095238,3.44827586206897,1.47058823529412,0,0,0
39.5,4518,4204,676,873,45,63,14.962372731297,16.0799238820171,1.20675784392599,1.98050927381327,0,0,0.925925925925926,0,1.58730158730159,0,0,0
40,4526,4209,690,893,50,67,15.2452496685815,16.3934426229508,1.34770889487871,2.1142316188072,0,0,3.41880341880342,2,4.47761194029851,0,0,0
40.5,4532,4232,716,907,63,67,15.7987643424537,16.9187145557656,1.71009771986971,2.11958241062955,4.32960893854749,1.9845644983462,3.07692307692308,1.58730158730159,4.47761194029851,4.16381498466828,1.64903563749239,2.51477934717589
41,4530,4271,728,926,54,62,16.0706401766004,17.0451884804495,1.47500682873532,1.95460277427491,7.14285714285714,4.64362850971922,4.31034482758621,1.85185185185185,6.45161290322581,6.1488889907319,2.42719302265733,3.72169596807457
41.5,4566,4280,747,941,45,60,16.3600525624179,17.4532710280374,1.2221618685497,1.89513581806696,8.96921017402945,6.16365568544102,1.9047619047619,2.22222222222222,1.66666666666667,8.60153303027372,3.40890249126055,5.19263053901317
42,4577,4277,771,958,59,72,16.8450950404195,18.026654196867,1.60587915078933,2.28571428571429,10.1167315175097,7.93319415448852,3.05343511450382,1.69491525423729,4.16666666666667,10.9129630535185,4.64381406532703,6.26914898819149
42.5,4593,4307,787,964,52,59,17.1347703026344,18.2725795217088,1.41419635572478,1.86178605238245,12.579415501906,9.85477178423237,5.40540540540541,1.92307692307692,8.47457627118644,12.87752271505,5.57898610206912,7.29853661298084
43,4603,4331,805,983,50,70,17.4885943949598,18.5869314246133,1.36017410228509,2.20680958385876,13.5403726708075,11.1902339776195,5.83333333333333,8,4.28571428571429,14.9311738118066,6.62360342027511,8.30757039153149
43.5,4644,4349,816,986,56,62,17.5710594315245,18.7629340078179,1.51392268180589,1.95398676331547,14.5833333333333,12.7789046653144,3.38983050847458,1.78571428571429,4.83870967741935,16.7088398701799,7.53754331921448,9.1712965509654
44,4667,4362,822,979,52,52,17.6130276408828,18.8445667125172,1.40540540540541,1.63367891925856,16.301703163017,13.585291113381,2.88461538461538,0,5.76923076923077,19.3558648175698,8.65626967849089,10.6995951390789
44.5,4683,4376,839,980,57,63,17.9158658979287,19.172760511883,1.53970826580227,1.97306608205449,17.7592371871275,14.3877551020408,4.16666666666667,1.75438596491228,6.34920634920635,21.7024059289938,9.67412332089044,12.0282826081033
45,4705,4383,843,993,49,57,17.9171094580234,19.233401779603,1.31933225632741,1.78683385579937,18.8612099644128,15.0050352467271,4.71698113207547,0,8.7719298245614,25,11.1880466472303,13.8119533527697
