endYear,alive.Female,alive.Male,infected.Female,infected.Male,newInfections.Female,newInfections.Male,prevalence.Female,prevalence.Male,incidence.Female,incidence.Male,percInfectedTreated.Female,percInfectedTreated.Male,percNewInfectFromAcute,percNewInfectFromAcute.Female,percNewInfectFromAcute.Male,sampleCoverage.25p,sampleCoverage.25p.Female,sampleCoverage.25p.Male,sampleCoverage.50p,sampleCoverage.50p.Female,sampleCoverage.50p.Male
13.5,3531,3291,78,109,14,13,2.2090059473237,2.37010027347311,0.406032482598608,0.409319899244332,0,0,33.3333333333333,42.8571428571429,23.0769230769231,0,0,0,0,0,0
14,3539,3306,89,118,14,15,2.51483469906753,2.69207501512402,0.40650406504065,0.471846492607738,0,0,17.2413793103448,14.2857142857143,20,0,0,0,0,0,0
14.5,3564,3320,98,126,9,14,2.74971941638608,2.95180722891566,0.260115606936416,0.440113171958504,0,0,34.7826086956522,33.3333333333333,35.7142857142857,0,0,0,0,0,0
15,3575,3331,108,139,13,18,3.02097902097902,3.2422695887121,0.37593984962406,0.566750629722922,0,0,35.4838709677419,53.8461538461538,22.2222222222222,0,0,0,0,0,0
15.5,3594,3356,120,147,15,11,3.33889816360601,3.57568533969011,0.432900432900433,0.344287949921753,0,0,23.0769230769231,13.3333333333333,36.3636363636364,0,0,0,0,0,0
16,3606,3372,134,164,15,22,3.71602884082085,3.97390272835113,0.432900432900433,0.689439047320589,0,0,24.3243243243243,6.66666666666667,36.3636363636364,0,0,0,0,0,0
16.5,3627,3391,147,186,17,26,4.05293631100083,4.3350044234739,0.489772399884759,0.815047021943574,0,0,41.8604651162791,52.9411764705882,34.6153846153846,0,0,0,0,0,0
17,3646,3401,166,211,24,31,4.55293472298409,4.88091737724199,0.692241130660513,0.97760958688111,0,0,34.5454545454545,37.5,32.258064516129,0,0,0,0,0,0
17.5,3665,3424,180,231,19,25,4.91132332878581,5.25700934579439,0.547392682224143,0.788146279949559,0,0,34.0909090909091,42.1052631578947,28,0,0,0,0,0,0
18,3675,3433,197,262,23,37,5.36054421768708,5.73842120594233,0.664739884393064,1.17497618291521,0,0,25,26.0869565217391,24.3243243243243,0,0,0,0,0,0
18.5,3707,3460,211,280,19,25,5.69193417858106,6.09826589595376,0.546448087431694,0.791389680278569,0,0,29.5454545454545,42.1052631578947,20,0,0,0,0,0,0
19,3713,3472,243,324,38,53,6.54457312146512,6.99884792626728,1.101768628588,1.696,0,0,32.967032967033,26.3157894736842,37.7358490566038,0,0,0,0,0,0
19.5,3724,3492,271,361,33,54,7.27712137486574,7.76059564719359,0.960978450786255,1.74081237911025,0,0,27.5862068965517,39.3939393939394,20.3703703703704,0,0,0,0,0,0
20,3740,3511,310,413,45,67,8.28877005347594,8.82939333523213,1.32003520093869,2.19097449313277,0,0,32.1428571428571,44.4444444444444,23.8805970149254,0,0,0,0,0,0
20.5,3754,3532,351,454,48,53,9.35002663825253,9.93771234428086,1.41885900088679,1.74571805006588,0,0,16.8316831683168,16.6666666666667,16.9811320754717,0,0,0,0,0,0
21,3776,3547,374,508,36,67,9.90466101694915,10.5441217930646,1.06540396567032,2.23780895123581,0,0,30.0970873786408,33.3333333333333,28.3582089552239,0,0,0,0,0,0
21.5,3814,3557,398,546,41,65,10.4352385946513,11.1892043857183,1.2137359384251,2.19966159052453,0,0,25.4716981132075,21.9512195121951,27.6923076923077,0,0,0,0,0,0
22,3827,3556,444,596,64,72,11.6017768487066,12.4859392575928,1.91904047976012,2.48190279214064,0,0,24.2647058823529,21.875,26.3888888888889,0,0,0,0,0,0
22.5,3838,3581,484,655,59,83,12.6107347576863,13.5157777157219,1.78896300788357,2.91125920729569,0,0,28.169014084507,35.5932203389831,22.8915662650602,0,0,0,0,0,0
23,3856,3591,536,722,70,94,13.9004149377593,14.9262043998886,2.1505376344086,3.37401292175162,0,0,27.4390243902439,31.4285714285714,24.468085106383,0,0,0,0,0,0
23.5,3867,3611,585,783,64,79,15.1280062063615,16.2004984768762,1.98449612403101,2.8695968034871,0,0,22.3776223776224,28.125,17.7215189873418,0,0,0,0,0,0
24,3880,3616,637,860,71,98,16.4175257731959,17.6161504424779,2.22989949748744,3.65262765560939,0,0,28.9940828402367,26.7605633802817,30.6122448979592,0,0,0,0,0,0
24.5,3895,3635,673,928,64,87,17.2785622593068,18.5144429160935,2.03174603174603,3.30296127562642,0,0,22.5165562913907,20.3125,24.1379310344828,0,0,0,0,0,0
25,3907,3638,701,958,58,65,17.9421551062196,19.2688290269379,1.85957037512023,2.49328730341389,0,0,20.3252032520325,22.4137931034483,18.4615384615385,0,0,0,0,0,0
25.5,3930,3670,748,1007,73,84,19.0330788804071,20.3814713896458,2.36016812156482,3.25960419091967,0,0,17.8343949044586,24.6575342465753,11.9047619047619,0,0,0,0,0,0
26,3958,3691,797,1035,80,80,20.1364325416877,21.5930642102411,2.6160889470242,3.1434184675835,0,0,22.5,20,25,0,0,0,0,0,0
26.5,3967,3704,831,1082,71,98,20.9478195109655,22.4352051835853,2.3447820343461,3.94842868654311,0,0,22.4852071005917,23.943661971831,21.4285714285714,0,0,0,0,0,0
27,3969,3707,855,1111,65,81,21.5419501133787,23.0644726193688,2.16955941255007,3.33059210526316,0,0,20.5479452054795,23.0769230769231,18.5185185185185,0,0,0,0,0,0
27.5,3988,3716,886,1133,78,75,22.2166499498495,23.8428417653391,2.61832829808661,3.11203319502075,0,0,25.4901960784314,26.9230769230769,24,0,0,0,0,0,0
28,3999,3730,932,1146,77,82,23.3058264566142,24.9865951742627,2.61904761904762,3.4453781512605,0,0,18.2389937106918,20.7792207792208,15.8536585365854,0,0,0,0,0,0
28.5,4023,3741,970,1163,78,79,24.1113596818295,25.9288960171077,2.672147995889,3.34179357021997,0,0,14.0127388535032,12.8205128205128,15.1898734177215,0,0,0,0,0,0
29,4036,3744,988,1169,70,73,24.4796828543112,26.3888888888889,2.41796200345423,3.11035364294845,0,0,16.0839160839161,14.2857142857143,17.8082191780822,0,0,0,0,0,0
29.5,4040,3755,1006,1177,70,77,24.9009900990099,26.7909454061252,2.4263431542461,3.29482242190843,0,0,15.6462585034014,14.2857142857143,16.8831168831169,0,0,0,0,0,0
30,4067,3754,1040,1193,87,84,25.5716744529137,27.7037826318594,3.0377094972067,3.63636363636364,0,0,14.0350877192982,14.9425287356322,13.0952380952381,0,0,0,0,0,0
30.5,4089,3755,1055,1193,70,78,25.8009293225728,28.0958721704394,2.45012250612531,3.39130434782609,0,0,20.2702702702703,21.4285714285714,19.2307692307692,0,0,0,0,0,0
31,4081,3769,1052,1200,71,92,25.7779955893163,27.9119129742637,2.5204117855875,4.02802101576182,0,0,20.8588957055215,21.1267605633803,20.6521739130435,0,0,0,0,0,0
31.5,4089,3767,1061,1203,73,86,25.9476644656395,28.1656490576055,2.60435247948626,3.77524143985953,0,0,21.3836477987421,28.7671232876712,15.1162790697674,0,0,0,0,0,0
32,4106,3774,1056,1195,62,66,25.7184607890891,27.9809220985692,2.20955096222381,2.87832533798517,0,0,14.84375,12.9032258064516,16.6666666666667,0,0,0,0,0,0
32.5,4131,3777,1057,1217,71,91,25.5870249334302,27.9851734180567,2.51683800070897,3.99122807017544,0,0,17.2839506172839,14.0845070422535,19.7802197802198,0,0,0,0,0,0
33,4131,3784,1075,1226,88,92,26.0227547809247,28.4090909090909,3.14285714285714,4.02097902097902,0,0,22.2222222222222,26.1363636363636,18.4782608695652,0,0,0,0,0,0
33.5,4152,3807,1041,1225,53,86,25.0722543352601,27.344365642238,1.87146892655367,3.73750543242069,0,0,15.8273381294964,15.0943396226415,16.2790697674419,0,0,0,0,0,0
34,4160,3830,1049,1217,74,82,25.2163461538462,27.3890339425588,2.5992272567615,3.54211663066955,0,0,17.3076923076923,18.9189189189189,15.8536585365854,0,0,0,0,0,0
34.5,4169,3852,1055,1216,74,87,25.3058287359079,27.3883696780893,2.5937609533824,3.74354561101549,0,0,14.2857142857143,16.2162162162162,12.6436781609195,0,0,0,0,0,0
35,4185,3861,1068,1226,89,85,25.5197132616487,27.6612276612277,3.12390312390312,3.6480686695279,0,0,13.2183908045977,14.6067415730337,11.7647058823529,0,0,0,0,0,0
35.5,4204,3893,1066,1227,74,80,25.3568030447193,27.3824813768302,2.58199581297976,3.38983050847458,0,0,14.2857142857143,16.2162162162162,12.5,0,0,0,0,0,0
36,4207,3898,1094,1226,90,93,26.0042785833135,28.0656747049769,3.14905528341498,3.94736842105263,0,0,27.8688524590164,30,25.8064516129032,0,0,0,0,0,0
36.5,4230,3918,1106,1228,78,95,26.1465721040189,28.2286881061766,2.71304347826087,4.01013085690165,0,0,18.4971098265896,21.7948717948718,15.7894736842105,0,0,0,0,0,0
37,4248,3943,1105,1232,68,92,26.0122410546139,28.0243469439513,2.35701906412478,3.8558256496228,0,0,16.875,22.0588235294118,13.0434782608696,0,0,0,0,0,0
37.5,4253,3967,1095,1253,75,95,25.7465318598636,27.6027224602975,2.59515570934256,3.96825396825397,0,0,15.8823529411765,20,12.6315789473684,0,0,0,0,0,0
38,4264,3991,1104,1261,89,83,25.891181988743,27.6622400400902,3.07108350586611,3.43827671913836,0,0,16.2790697674419,16.8539325842697,15.6626506024096,0,0,0,0,0,0
38.5,4298,3977,1110,1267,70,78,25.8259655653792,27.9104852904199,2.38989416182998,3.20987654320988,0,0,12.8378378378378,17.1428571428571,8.97435897435897,0,0,0,0,0,0
39,4324,3955,1109,1277,80,99,25.6475485661425,28.0404551201011,2.71462504241602,4.13361169102297,0,0,15.6424581005587,11.25,19.1919191919192,0,0,0,0,0,0
39.5,4346,4001,1111,1283,74,91,25.5637367694432,27.7680579855036,2.48823133826496,3.7463976945245,0,0,16.969696969697,18.9189189189189,15.3846153846154,0,0,0,0,0,0
40,4364,4050,1117,1297,73,94,25.5957836846929,27.5802469135802,2.45378151260504,3.83204239706482,0,0,13.7724550898204,17.8082191780822,10.6382978723404,0,0,0,0,0,0
40.5,4371,4097,1129,1296,82,81,25.8293296728437,27.5567488406151,2.75537634408602,3.25824617860016,3.36581045172719,2.46913580246914,15.3374233128834,15.8536585365854,14.8148148148148,3.40557403466727,1.78137718736442,1.62419684730285,6.99452513273971,3.06501663120055,3.92950850153916
41,4394,4113,1130,1316,74,89,25.7168866636322,27.4738633600778,2.46831220813876,3.56427713255907,6.01769911504425,4.33130699088146,11.0429447852761,8.10810810810811,13.4831460674157,5.94754513114537,2.80495578237423,3.14258934877113,12.3625828926864,5.73977062874727,6.62281226393916
41.5,4422,4114,1143,1311,73,69,25.8480325644505,27.7831793874575,2.41322314049587,2.73159144893112,9.53630796150481,7.09382151029748,15.4929577464789,16.4383561643836,14.4927536231884,8.28388643627924,4.09016892791288,4.19371750836637,17.0596286297126,7.55904637310481,9.50058225660776
42,4431,4113,1159,1321,85,96,26.1566237869555,28.1789448091417,2.80435499835038,3.8231780167264,11.993097497843,8.25132475397426,22.0994475138122,22.3529411764706,21.875,10.2719147973366,5.04630228198332,5.22561251535329,21.0561445471588,9.3497478828625,11.7063966642963
42.5,4493,4162,1167,1346,70,102,25.9737369241042,28.0394041326285,2.26537216828479,4.02366863905325,13.796058269066,9.36106983655275,15.1162790697674,15.7142857142857,14.7058823529412,12.2857732974903,5.81425485272176,6.47151844476857,24.697943439605,11.0218048512465,13.6761385883586
43,4504,4191,1174,1316,75,65,26.0657193605684,28.0124075399666,2.4240465416936,2.53708040593287,15.1618398637138,11.0182370820669,20,21.3333333333333,18.4615384615385,14.8995179113247,7.06706585862488,7.83245205269978,28.7785208972161,12.7309236947791,16.047597202437
43.5,4538,4215,1162,1303,62,74,25.605993829881,27.5682087781732,1.97704081632653,2.86045612678779,16.7814113597246,12.2026093630084,19.1176470588235,27.4193548387097,12.1621621621622,17.2412167133456,8.06651843240233,9.17469828094323,33.4257968269196,14.9733137674944,18.4524830594251
44,4550,4218,1176,1299,79,85,25.8461538461538,27.8805120910384,2.51752708731676,3.27174749807544,18.1972789115646,13.0100076982294,17.0731707317073,20.253164556962,14.1176470588235,19.1479524705978,8.75261634379871,10.3953361267991,38.0135624784923,16.9662152588004,21.0473472196919
44.5,4586,4230,1205,1301,73,80,26.2756214566071,28.4869976359338,2.29993698802773,3.04761904761905,19.4190871369295,13.7586471944658,21.5686274509804,17.8082191780822,25,21.2939846172793,9.78509293127356,11.5088916860057,42.3598193993734,19.240636100613,23.1191832987603
45,4621,4266,1221,1315,88,76,26.4228521964943,28.6216596343179,2.77252678008822,2.85392414570034,20.3112203112203,14.9809885931559,18.2926829268293,18.1818181818182,18.4210526315789,25,11.6983967935872,13.3016032064128,50,23.1462925851703,26.8537074148297
